,title,description,search_term_tf_idf,search_term_bert
193,A Call To Arms,"<b><i><u>The Sunday Times bestselling author</u> Allan Mallinson, brings us another action-packed and stirring Matthew Hervey adventure. If you like Patrick O'Brian, Bernard Cornwell and CS Forester, this will not disappoint!</i></b>
<b><i>
</i>""A thoroughly satisfying and entertaining read"" - <i>THE TIMES</i></b>
<b>""Matthew Hervey has now joined Bernard Cornwell's Sharpe and Patrick O'Brian's Jack Aubrey"" - <i>Birmingham Post</i></b>
<b>""After just half-a-dozen pages I was hooked.</b><b>"" -- ***** Reader review</b>
<b>""An excellent book, when you start reading you cannot put it down. Allan Mallinson at his best!!!</b><b>"" -- ***** Reader review</b>
<b>""Essential reading for military buffs"" -- ***** Reader review</b>
<b>
</b>**********************************************************************

<b>India 1819</b>: <b>Matthew Hervey</b> is charged with raising a new troop, and organising transport for India - for he, his men and their horses are to set sail with immediate effect.

What Hervey and his soldiers cannot know is that in India they will face a trial for which they are woefully under prepared. 

A large number of <b>Burmese</b> war-boats are assembled near <b>Chittagong</b>, and the only way to thwart their advance involves a hazardous march through the jungle. 

<b>Soon Hervey and his troop are in the midst of hot and bloody action once again...</b>

<b><i>A Call To Arms </i>is the fourth book in Allan Mallinson's Matthew Hervey series. His adventures continue in <i>The Sabre's Edge</i>. Have you read his previous adventures <i>A Close Run Thing, The Nizam's Daughters</i> and <i>A Regimental Affair</i>?</b>",jason matthew book,jane fraser book
194,Doctor Who: Ten Days of Christmas,"<i>Return to the incredible <b>days of Ten</b> this Christmas . . .</i>

For the Tenth Doctor, the festive season always brought adventure.

In fact, he's saved Christmas across space and time more times than we ever knew . . .

Join the Doctor (and Donna and Martha and Rose, and other friends old and new) for incredible tales of daring and danger. From Daleks plotting to save humanity to Sycorax working to exploit it . . . from star-narwhals massing on the Moon to a toy factory in space.

Because even in the jolliest of seasons there's a world or two to save.",christmas fiction,christmas fiction
194,Doctor Who: Ten Days of Christmas,"<i>Return to the incredible <b>days of Ten</b> this Christmas . . .</i>

For the Tenth Doctor, the festive season always brought adventure.

In fact, he's saved Christmas across space and time more times than we ever knew . . .

Join the Doctor (and Donna and Martha and Rose, and other friends old and new) for incredible tales of daring and danger. From Daleks plotting to save humanity to Sycorax working to exploit it . . . from star-narwhals massing on the Moon to a toy factory in space.

Because even in the jolliest of seasons there's a world or two to save.",hometown christmas,christmas thriller
194,Doctor Who: Ten Days of Christmas,"<i>Return to the incredible <b>days of Ten</b> this Christmas . . .</i>

For the Tenth Doctor, the festive season always brought adventure.

In fact, he's saved Christmas across space and time more times than we ever knew . . .

Join the Doctor (and Donna and Martha and Rose, and other friends old and new) for incredible tales of daring and danger. From Daleks plotting to save humanity to Sycorax working to exploit it . . . from star-narwhals massing on the Moon to a toy factory in space.

Because even in the jolliest of seasons there's a world or two to save.",watercolour christmas,christmas thriller
194,Doctor Who: Ten Days of Christmas,"<i>Return to the incredible <b>days of Ten</b> this Christmas . . .</i>

For the Tenth Doctor, the festive season always brought adventure.

In fact, he's saved Christmas across space and time more times than we ever knew . . .

Join the Doctor (and Donna and Martha and Rose, and other friends old and new) for incredible tales of daring and danger. From Daleks plotting to save humanity to Sycorax working to exploit it . . . from star-narwhals massing on the Moon to a toy factory in space.

Because even in the jolliest of seasons there's a world or two to save.",christmas advent calendar,christmas anthology
194,Doctor Who: Ten Days of Christmas,"<i>Return to the incredible <b>days of Ten</b> this Christmas . . .</i>

For the Tenth Doctor, the festive season always brought adventure.

In fact, he's saved Christmas across space and time more times than we ever knew . . .

Join the Doctor (and Donna and Martha and Rose, and other friends old and new) for incredible tales of daring and danger. From Daleks plotting to save humanity to Sycorax working to exploit it . . . from star-narwhals massing on the Moon to a toy factory in space.

Because even in the jolliest of seasons there's a world or two to save.",mog christmas,christmas childrens book
195,Now is Good (Also published as Before I Die),"Tessa has just a few months to live. 

Fighting back against hospital visits, endless tests and drugs with excruciating side-effects, Tessa compiles a list. It's her <i>Before I Die</i> list. And number one is sex. Starting tonight.

Released from the constraints of 'normal' life, Tessa tastes new experiences to make her feel alive while her failing body struggles to keep up. Her feelings, her relationships with her father and brother, her estranged mother, her best friend, and the powerful, bittersweet first love she finds with the boy next door - all are painfully yet beautifully crystallized in the precious weeks before Tessa's time finally runs out.",tessa layne,tessa
195,Now is Good (Also published as Before I Die),"Tessa has just a few months to live. 

Fighting back against hospital visits, endless tests and drugs with excruciating side-effects, Tessa compiles a list. It's her <i>Before I Die</i> list. And number one is sex. Starting tonight.

Released from the constraints of 'normal' life, Tessa tastes new experiences to make her feel alive while her failing body struggles to keep up. Her feelings, her relationships with her father and brother, her estranged mother, her best friend, and the powerful, bittersweet first love she finds with the boy next door - all are painfully yet beautifully crystallized in the precious weeks before Tessa's time finally runs out.",tessa,follow tessa bailey
195,Now is Good (Also published as Before I Die),"Tessa has just a few months to live. 

Fighting back against hospital visits, endless tests and drugs with excruciating side-effects, Tessa compiles a list. It's her <i>Before I Die</i> list. And number one is sex. Starting tonight.

Released from the constraints of 'normal' life, Tessa tastes new experiences to make her feel alive while her failing body struggles to keep up. Her feelings, her relationships with her father and brother, her estranged mother, her best friend, and the powerful, bittersweet first love she finds with the boy next door - all are painfully yet beautifully crystallized in the precious weeks before Tessa's time finally runs out.",tessa murran,tessa ever
195,Now is Good (Also published as Before I Die),"Tessa has just a few months to live. 

Fighting back against hospital visits, endless tests and drugs with excruciating side-effects, Tessa compiles a list. It's her <i>Before I Die</i> list. And number one is sex. Starting tonight.

Released from the constraints of 'normal' life, Tessa tastes new experiences to make her feel alive while her failing body struggles to keep up. Her feelings, her relationships with her father and brother, her estranged mother, her best friend, and the powerful, bittersweet first love she finds with the boy next door - all are painfully yet beautifully crystallized in the precious weeks before Tessa's time finally runs out.",tessa morgan,tessa morgan
195,Now is Good (Also published as Before I Die),"Tessa has just a few months to live. 

Fighting back against hospital visits, endless tests and drugs with excruciating side-effects, Tessa compiles a list. It's her <i>Before I Die</i> list. And number one is sex. Starting tonight.

Released from the constraints of 'normal' life, Tessa tastes new experiences to make her feel alive while her failing body struggles to keep up. Her feelings, her relationships with her father and brother, her estranged mother, her best friend, and the powerful, bittersweet first love she finds with the boy next door - all are painfully yet beautifully crystallized in the precious weeks before Tessa's time finally runs out.",tessa cole,tessa blake
196,The Shadow of War,"June 1914: the beginning of another long, prosperous summer for Britain. But all is not as it seems - the chill wind of social discontent swirls around this sceptred isle. 

Shots ring out in a distant European land - the assassination of a foreign aristocrat. From that moment the world is propelled into a conflict unlike any seen before.

This is the story of five British communities, their circumstances very different, but who will all share in the tragedy that is to come. All that they have known will be changed forever by the catastrophic events of the Great War.",wind chill,1915 book
196,The Shadow of War,"June 1914: the beginning of another long, prosperous summer for Britain. But all is not as it seems - the chill wind of social discontent swirls around this sceptred isle. 

Shots ring out in a distant European land - the assassination of a foreign aristocrat. From that moment the world is propelled into a conflict unlike any seen before.

This is the story of five British communities, their circumstances very different, but who will all share in the tragedy that is to come. All that they have known will be changed forever by the catastrophic events of the Great War.",isle wind,ww1 fiction
196,The Shadow of War,"June 1914: the beginning of another long, prosperous summer for Britain. But all is not as it seems - the chill wind of social discontent swirls around this sceptred isle. 

Shots ring out in a distant European land - the assassination of a foreign aristocrat. From that moment the world is propelled into a conflict unlike any seen before.

This is the story of five British communities, their circumstances very different, but who will all share in the tragedy that is to come. All that they have known will be changed forever by the catastrophic events of the Great War.",wind war,1915
196,The Shadow of War,"June 1914: the beginning of another long, prosperous summer for Britain. But all is not as it seems - the chill wind of social discontent swirls around this sceptred isle. 

Shots ring out in a distant European land - the assassination of a foreign aristocrat. From that moment the world is propelled into a conflict unlike any seen before.

This is the story of five British communities, their circumstances very different, but who will all share in the tragedy that is to come. All that they have known will be changed forever by the catastrophic events of the Great War.",world war potato,war history
196,The Shadow of War,"June 1914: the beginning of another long, prosperous summer for Britain. But all is not as it seems - the chill wind of social discontent swirls around this sceptred isle. 

Shots ring out in a distant European land - the assassination of a foreign aristocrat. From that moment the world is propelled into a conflict unlike any seen before.

This is the story of five British communities, their circumstances very different, but who will all share in the tragedy that is to come. All that they have known will be changed forever by the catastrophic events of the Great War.",world war,british history book
197,15th Affair,"<b><i>_________________________________</i></b>
<b><i>The bestselling 15th novel in the Women's Murder Club series</i></b>

<i>Now available to pre-order: <b><u>20th Victim</u></b>, the latest novel in the #1 bestselling Women's Murder Club series</i>

<b>A FIVE-STAR MASSACRE</b>

Detective Lindsay Boxer is dispatched to a luxury hotel, where four are dead: a man who checked in under a false name, a man and a woman in a room full of surveillance equipment, and a maid who saw too much.

Her investigation takes her down unexpected paths - and things take a turn for the worse when her husband Joe abruptly goes missing. Disaster strikes when an explosive tragedy rocks San Francisco, and this time Lindsay finds evidence that seems to lead to her own front door...",woman murder club,crime thriller book
197,15th Affair,"<b><i>_________________________________</i></b>
<b><i>The bestselling 15th novel in the Women's Murder Club series</i></b>

<i>Now available to pre-order: <b><u>20th Victim</u></b>, the latest novel in the #1 bestselling Women's Murder Club series</i>

<b>A FIVE-STAR MASSACRE</b>

Detective Lindsay Boxer is dispatched to a luxury hotel, where four are dead: a man who checked in under a false name, a man and a woman in a room full of surveillance equipment, and a maid who saw too much.

Her investigation takes her down unexpected paths - and things take a turn for the worse when her husband Joe abruptly goes missing. Disaster strikes when an explosive tragedy rocks San Francisco, and this time Lindsay finds evidence that seems to lead to her own front door...",woman murder club,woman murder club
197,15th Affair,"<b><i>_________________________________</i></b>
<b><i>The bestselling 15th novel in the Women's Murder Club series</i></b>

<i>Now available to pre-order: <b><u>20th Victim</u></b>, the latest novel in the #1 bestselling Women's Murder Club series</i>

<b>A FIVE-STAR MASSACRE</b>

Detective Lindsay Boxer is dispatched to a luxury hotel, where four are dead: a man who checked in under a false name, a man and a woman in a room full of surveillance equipment, and a maid who saw too much.

Her investigation takes her down unexpected paths - and things take a turn for the worse when her husband Joe abruptly goes missing. Disaster strikes when an explosive tragedy rocks San Francisco, and this time Lindsay finds evidence that seems to lead to her own front door...",woman murder club,woman murder club
197,15th Affair,"<b><i>_________________________________</i></b>
<b><i>The bestselling 15th novel in the Women's Murder Club series</i></b>

<i>Now available to pre-order: <b><u>20th Victim</u></b>, the latest novel in the #1 bestselling Women's Murder Club series</i>

<b>A FIVE-STAR MASSACRE</b>

Detective Lindsay Boxer is dispatched to a luxury hotel, where four are dead: a man who checked in under a false name, a man and a woman in a room full of surveillance equipment, and a maid who saw too much.

Her investigation takes her down unexpected paths - and things take a turn for the worse when her husband Joe abruptly goes missing. Disaster strikes when an explosive tragedy rocks San Francisco, and this time Lindsay finds evidence that seems to lead to her own front door...",lindsay kelk,woman murder club
197,15th Affair,"<b><i>_________________________________</i></b>
<b><i>The bestselling 15th novel in the Women's Murder Club series</i></b>

<i>Now available to pre-order: <b><u>20th Victim</u></b>, the latest novel in the #1 bestselling Women's Murder Club series</i>

<b>A FIVE-STAR MASSACRE</b>

Detective Lindsay Boxer is dispatched to a luxury hotel, where four are dead: a man who checked in under a false name, a man and a woman in a room full of surveillance equipment, and a maid who saw too much.

Her investigation takes her down unexpected paths - and things take a turn for the worse when her husband Joe abruptly goes missing. Disaster strikes when an explosive tragedy rocks San Francisco, and this time Lindsay finds evidence that seems to lead to her own front door...",lindsay murray,murder mystery book
198,Arctic Sun,"Kola Peninsula, 1987. High in the Soviet Arctic, a tiny village houses an apocalyptic secret . . .

When research zoologist Dr Amelia Blackburn ventures north to investigate the ravages of the Chernobyl reactor meltdown, she stumbles on the evidence of another sinister disaster on the Norway-Russia border - one that appears far from innocent. Mother Russia will stop at nothing to prevent this information from being revealed, putting Amelia and her team in grave danger from the moment they leave the site.

When the news reaches London, the eyes of British intelligence turn to the one man with the knowledge and skills to bring her back to safety - and find out what has really happened in the frozen North.

Major Tom Fox thought he'd put his intelligence career behind him, but wrapped in a custody battle for his young son, Charlie, a request from his high-ranking father-in-law forces his hand. When the reluctant spy reaches Russia, it quickly becomes clear that this is no ordinary mission.

As Fox and Amelia fight for their lives - and their country - in Russia, Charlie is lead into dangers of his own in England. Three lives are about to be embroiled in the darkest secrets of the Cold War conflict - and a plot that, if left unchecked, will echo through history . . .",amelia shea,book koli
198,Arctic Sun,"Kola Peninsula, 1987. High in the Soviet Arctic, a tiny village houses an apocalyptic secret . . .

When research zoologist Dr Amelia Blackburn ventures north to investigate the ravages of the Chernobyl reactor meltdown, she stumbles on the evidence of another sinister disaster on the Norway-Russia border - one that appears far from innocent. Mother Russia will stop at nothing to prevent this information from being revealed, putting Amelia and her team in grave danger from the moment they leave the site.

When the news reaches London, the eyes of British intelligence turn to the one man with the knowledge and skills to bring her back to safety - and find out what has really happened in the frozen North.

Major Tom Fox thought he'd put his intelligence career behind him, but wrapped in a custody battle for his young son, Charlie, a request from his high-ranking father-in-law forces his hand. When the reluctant spy reaches Russia, it quickly becomes clear that this is no ordinary mission.

As Fox and Amelia fight for their lives - and their country - in Russia, Charlie is lead into dangers of his own in England. Three lives are about to be embroiled in the darkest secrets of the Cold War conflict - and a plot that, if left unchecked, will echo through history . . .",amelia addler,koli
198,Arctic Sun,"Kola Peninsula, 1987. High in the Soviet Arctic, a tiny village houses an apocalyptic secret . . .

When research zoologist Dr Amelia Blackburn ventures north to investigate the ravages of the Chernobyl reactor meltdown, she stumbles on the evidence of another sinister disaster on the Norway-Russia border - one that appears far from innocent. Mother Russia will stop at nothing to prevent this information from being revealed, putting Amelia and her team in grave danger from the moment they leave the site.

When the news reaches London, the eyes of British intelligence turn to the one man with the knowledge and skills to bring her back to safety - and find out what has really happened in the frozen North.

Major Tom Fox thought he'd put his intelligence career behind him, but wrapped in a custody battle for his young son, Charlie, a request from his high-ranking father-in-law forces his hand. When the reluctant spy reaches Russia, it quickly becomes clear that this is no ordinary mission.

As Fox and Amelia fight for their lives - and their country - in Russia, Charlie is lead into dangers of his own in England. Three lives are about to be embroiled in the darkest secrets of the Cold War conflict - and a plot that, if left unchecked, will echo through history . . .",amelia fang,koli trilogy
198,Arctic Sun,"Kola Peninsula, 1987. High in the Soviet Arctic, a tiny village houses an apocalyptic secret . . .

When research zoologist Dr Amelia Blackburn ventures north to investigate the ravages of the Chernobyl reactor meltdown, she stumbles on the evidence of another sinister disaster on the Norway-Russia border - one that appears far from innocent. Mother Russia will stop at nothing to prevent this information from being revealed, putting Amelia and her team in grave danger from the moment they leave the site.

When the news reaches London, the eyes of British intelligence turn to the one man with the knowledge and skills to bring her back to safety - and find out what has really happened in the frozen North.

Major Tom Fox thought he'd put his intelligence career behind him, but wrapped in a custody battle for his young son, Charlie, a request from his high-ranking father-in-law forces his hand. When the reluctant spy reaches Russia, it quickly becomes clear that this is no ordinary mission.

As Fox and Amelia fight for their lives - and their country - in Russia, Charlie is lead into dangers of his own in England. Three lives are about to be embroiled in the darkest secrets of the Cold War conflict - and a plot that, if left unchecked, will echo through history . . .",amelia watchman,korra live
198,Arctic Sun,"Kola Peninsula, 1987. High in the Soviet Arctic, a tiny village houses an apocalyptic secret . . .

When research zoologist Dr Amelia Blackburn ventures north to investigate the ravages of the Chernobyl reactor meltdown, she stumbles on the evidence of another sinister disaster on the Norway-Russia border - one that appears far from innocent. Mother Russia will stop at nothing to prevent this information from being revealed, putting Amelia and her team in grave danger from the moment they leave the site.

When the news reaches London, the eyes of British intelligence turn to the one man with the knowledge and skills to bring her back to safety - and find out what has really happened in the frozen North.

Major Tom Fox thought he'd put his intelligence career behind him, but wrapped in a custody battle for his young son, Charlie, a request from his high-ranking father-in-law forces his hand. When the reluctant spy reaches Russia, it quickly becomes clear that this is no ordinary mission.

As Fox and Amelia fight for their lives - and their country - in Russia, Charlie is lead into dangers of his own in England. Three lives are about to be embroiled in the darkest secrets of the Cold War conflict - and a plot that, if left unchecked, will echo through history . . .",amelia simone,klaas
199,John Patrick Norman McHennessy,"Every day, John Patrick sets off along the road to school, and although he hurries, strange and improbable happenings repeatedly make him late. To make things worse, his teacher never believes his story.",school story,school story
199,John Patrick Norman McHennessy,"Every day, John Patrick sets off along the road to school, and although he hurries, strange and improbable happenings repeatedly make him late. To make things worse, his teacher never believes his story.",school wok,funny kid book
199,John Patrick Norman McHennessy,"Every day, John Patrick sets off along the road to school, and although he hurries, strange and improbable happenings repeatedly make him late. To make things worse, his teacher never believes his story.",notebook school,teenage fiction
199,John Patrick Norman McHennessy,"Every day, John Patrick sets off along the road to school, and although he hurries, strange and improbable happenings repeatedly make him late. To make things worse, his teacher never believes his story.",school gate,teacher nothing
199,John Patrick Norman McHennessy,"Every day, John Patrick sets off along the road to school, and although he hurries, strange and improbable happenings repeatedly make him late. To make things worse, his teacher never believes his story.",school,kid story book
200,Baby Touch: Food,"The award-winning, bestselling Baby Touch series is back with a sleek and playful design. 

Name and touch the different foods, from healthy fruit to yummy treats! With textured patches to touch, feel and explore, this bright and sturdy board book with grabbable tabs will engage young children from birth upwards. High-contrast colours and touch-and-feels stimulate a baby's senses, while encouraging interaction and play.

A perfect first words book for all babies and toddlers.",easter baby book,baby love science
200,Baby Touch: Food,"The award-winning, bestselling Baby Touch series is back with a sleek and playful design. 

Name and touch the different foods, from healthy fruit to yummy treats! With textured patches to touch, feel and explore, this bright and sturdy board book with grabbable tabs will engage young children from birth upwards. High-contrast colours and touch-and-feels stimulate a baby's senses, while encouraging interaction and play.

A perfect first words book for all babies and toddlers.",book baby,baby toy
200,Baby Touch: Food,"The award-winning, bestselling Baby Touch series is back with a sleek and playful design. 

Name and touch the different foods, from healthy fruit to yummy treats! With textured patches to touch, feel and explore, this bright and sturdy board book with grabbable tabs will engage young children from birth upwards. High-contrast colours and touch-and-feels stimulate a baby's senses, while encouraging interaction and play.

A perfect first words book for all babies and toddlers.",book baby,kid recipe book
200,Baby Touch: Food,"The award-winning, bestselling Baby Touch series is back with a sleek and playful design. 

Name and touch the different foods, from healthy fruit to yummy treats! With textured patches to touch, feel and explore, this bright and sturdy board book with grabbable tabs will engage young children from birth upwards. High-contrast colours and touch-and-feels stimulate a baby's senses, while encouraging interaction and play.

A perfect first words book for all babies and toddlers.",caul baby,book baby
200,Baby Touch: Food,"The award-winning, bestselling Baby Touch series is back with a sleek and playful design. 

Name and touch the different foods, from healthy fruit to yummy treats! With textured patches to touch, feel and explore, this bright and sturdy board book with grabbable tabs will engage young children from birth upwards. High-contrast colours and touch-and-feels stimulate a baby's senses, while encouraging interaction and play.

A perfect first words book for all babies and toddlers.",grim baby,book baby
201,The Manchester Compendium,"In the same format as the successful London Compendium, the Manchester Compendium relates the remarkable and diverse history of England's second city. Manchester's town hall and its Royal Exchange epitomise the city's architectural grandeur and its industrial heritage., Peterloo and Engel's treatise on the conditions of the working classes its political history and the Manchester Guardian and Factory Records its cultural and social history. From Thomas de Quincey to Alan Touring, Neville Cardus to Morrissey - all are part of the city's rich and fascinating past. Covering every area of human activity and incorporating all the great events and key moments in the city's history this will be a fresh and unique perspective on a great city.",vampire city,london compendium
201,The Manchester Compendium,"In the same format as the successful London Compendium, the Manchester Compendium relates the remarkable and diverse history of England's second city. Manchester's town hall and its Royal Exchange epitomise the city's architectural grandeur and its industrial heritage., Peterloo and Engel's treatise on the conditions of the working classes its political history and the Manchester Guardian and Factory Records its cultural and social history. From Thomas de Quincey to Alan Touring, Neville Cardus to Morrissey - all are part of the city's rich and fascinating past. Covering every area of human activity and incorporating all the great events and key moments in the city's history this will be a fresh and unique perspective on a great city.",steeple city,british history book
201,The Manchester Compendium,"In the same format as the successful London Compendium, the Manchester Compendium relates the remarkable and diverse history of England's second city. Manchester's town hall and its Royal Exchange epitomise the city's architectural grandeur and its industrial heritage., Peterloo and Engel's treatise on the conditions of the working classes its political history and the Manchester Guardian and Factory Records its cultural and social history. From Thomas de Quincey to Alan Touring, Neville Cardus to Morrissey - all are part of the city's rich and fascinating past. Covering every area of human activity and incorporating all the great events and key moments in the city's history this will be a fresh and unique perspective on a great city.",cyberpunk city,london history
201,The Manchester Compendium,"In the same format as the successful London Compendium, the Manchester Compendium relates the remarkable and diverse history of England's second city. Manchester's town hall and its Royal Exchange epitomise the city's architectural grandeur and its industrial heritage., Peterloo and Engel's treatise on the conditions of the working classes its political history and the Manchester Guardian and Factory Records its cultural and social history. From Thomas de Quincey to Alan Touring, Neville Cardus to Morrissey - all are part of the city's rich and fascinating past. Covering every area of human activity and incorporating all the great events and key moments in the city's history this will be a fresh and unique perspective on a great city.",divine city,london book
201,The Manchester Compendium,"In the same format as the successful London Compendium, the Manchester Compendium relates the remarkable and diverse history of England's second city. Manchester's town hall and its Royal Exchange epitomise the city's architectural grandeur and its industrial heritage., Peterloo and Engel's treatise on the conditions of the working classes its political history and the Manchester Guardian and Factory Records its cultural and social history. From Thomas de Quincey to Alan Touring, Neville Cardus to Morrissey - all are part of the city's rich and fascinating past. Covering every area of human activity and incorporating all the great events and key moments in the city's history this will be a fresh and unique perspective on a great city.",city clifford simak,manchester unite book
202,Forgotten Voices of the Falklands,"The Falklands War was a turning point in modern British history. On the one hand, it was what some considered to be the 'last of the great Elizabethan adventures', with the Royal Navy pulling off an incredible feat of maritime warfare, under the most appallingly risky circumstances. On the other hand, it was the first war of the modern age, using satellite surveillance, computer-driven missiles, night observation devices, and all the technologically developed power of modern weaponry. It was also a conflict that could so easily have gone terribly wrong for British forces. Instead, it was a resounding military success.

And yet, the conflict's significance is often overlooked. Drawing upon the vast resources of the Imperial War Museum's sound archive, which contains thousands of interviews with both soldiers and civilians, both British and Argentinean, <i>Forgotten Voices of the Falkands War</i> redresses the balance, presenting a complete oral history of the Falklands War. From the initial invasion of the islands to the British landings, the sinking of the Belgrano to brutal combat at Goose Green, the Argentinean surrender through to its aftermath, the book is a unique and essential chronicle of the conflict told from all sides and perspectives. It includes the visceral and often terrifying experiences of the combatants as well as the poignant and sometimes surreal recollections of the islanders caught in the middle.

Utilising all the qualities that have made the <i>Forgotten Voices</i> series so popular, Hugh McManners, who himself fought in the Falklands War and witnessed its brutality first-hand, has created the definitive oral history on the subject.",falklands war book,falklands war book
202,Forgotten Voices of the Falklands,"The Falklands War was a turning point in modern British history. On the one hand, it was what some considered to be the 'last of the great Elizabethan adventures', with the Royal Navy pulling off an incredible feat of maritime warfare, under the most appallingly risky circumstances. On the other hand, it was the first war of the modern age, using satellite surveillance, computer-driven missiles, night observation devices, and all the technologically developed power of modern weaponry. It was also a conflict that could so easily have gone terribly wrong for British forces. Instead, it was a resounding military success.

And yet, the conflict's significance is often overlooked. Drawing upon the vast resources of the Imperial War Museum's sound archive, which contains thousands of interviews with both soldiers and civilians, both British and Argentinean, <i>Forgotten Voices of the Falkands War</i> redresses the balance, presenting a complete oral history of the Falklands War. From the initial invasion of the islands to the British landings, the sinking of the Belgrano to brutal combat at Goose Green, the Argentinean surrender through to its aftermath, the book is a unique and essential chronicle of the conflict told from all sides and perspectives. It includes the visceral and often terrifying experiences of the combatants as well as the poignant and sometimes surreal recollections of the islanders caught in the middle.

Utilising all the qualities that have made the <i>Forgotten Voices</i> series so popular, Hugh McManners, who himself fought in the Falklands War and witnessed its brutality first-hand, has created the definitive oral history on the subject.",falklands,falklands
202,Forgotten Voices of the Falklands,"The Falklands War was a turning point in modern British history. On the one hand, it was what some considered to be the 'last of the great Elizabethan adventures', with the Royal Navy pulling off an incredible feat of maritime warfare, under the most appallingly risky circumstances. On the other hand, it was the first war of the modern age, using satellite surveillance, computer-driven missiles, night observation devices, and all the technologically developed power of modern weaponry. It was also a conflict that could so easily have gone terribly wrong for British forces. Instead, it was a resounding military success.

And yet, the conflict's significance is often overlooked. Drawing upon the vast resources of the Imperial War Museum's sound archive, which contains thousands of interviews with both soldiers and civilians, both British and Argentinean, <i>Forgotten Voices of the Falkands War</i> redresses the balance, presenting a complete oral history of the Falklands War. From the initial invasion of the islands to the British landings, the sinking of the Belgrano to brutal combat at Goose Green, the Argentinean surrender through to its aftermath, the book is a unique and essential chronicle of the conflict told from all sides and perspectives. It includes the visceral and often terrifying experiences of the combatants as well as the poignant and sometimes surreal recollections of the islanders caught in the middle.

Utilising all the qualities that have made the <i>Forgotten Voices</i> series so popular, Hugh McManners, who himself fought in the Falklands War and witnessed its brutality first-hand, has created the definitive oral history on the subject.",lord ashcroft falklands,lord ashcroft falklands
202,Forgotten Voices of the Falklands,"The Falklands War was a turning point in modern British history. On the one hand, it was what some considered to be the 'last of the great Elizabethan adventures', with the Royal Navy pulling off an incredible feat of maritime warfare, under the most appallingly risky circumstances. On the other hand, it was the first war of the modern age, using satellite surveillance, computer-driven missiles, night observation devices, and all the technologically developed power of modern weaponry. It was also a conflict that could so easily have gone terribly wrong for British forces. Instead, it was a resounding military success.

And yet, the conflict's significance is often overlooked. Drawing upon the vast resources of the Imperial War Museum's sound archive, which contains thousands of interviews with both soldiers and civilians, both British and Argentinean, <i>Forgotten Voices of the Falkands War</i> redresses the balance, presenting a complete oral history of the Falklands War. From the initial invasion of the islands to the British landings, the sinking of the Belgrano to brutal combat at Goose Green, the Argentinean surrender through to its aftermath, the book is a unique and essential chronicle of the conflict told from all sides and perspectives. It includes the visceral and often terrifying experiences of the combatants as well as the poignant and sometimes surreal recollections of the islanders caught in the middle.

Utilising all the qualities that have made the <i>Forgotten Voices</i> series so popular, Hugh McManners, who himself fought in the Falklands War and witnessed its brutality first-hand, has created the definitive oral history on the subject.",war history,alternative military history
202,Forgotten Voices of the Falklands,"The Falklands War was a turning point in modern British history. On the one hand, it was what some considered to be the 'last of the great Elizabethan adventures', with the Royal Navy pulling off an incredible feat of maritime warfare, under the most appallingly risky circumstances. On the other hand, it was the first war of the modern age, using satellite surveillance, computer-driven missiles, night observation devices, and all the technologically developed power of modern weaponry. It was also a conflict that could so easily have gone terribly wrong for British forces. Instead, it was a resounding military success.

And yet, the conflict's significance is often overlooked. Drawing upon the vast resources of the Imperial War Museum's sound archive, which contains thousands of interviews with both soldiers and civilians, both British and Argentinean, <i>Forgotten Voices of the Falkands War</i> redresses the balance, presenting a complete oral history of the Falklands War. From the initial invasion of the islands to the British landings, the sinking of the Belgrano to brutal combat at Goose Green, the Argentinean surrender through to its aftermath, the book is a unique and essential chronicle of the conflict told from all sides and perspectives. It includes the visceral and often terrifying experiences of the combatants as well as the poignant and sometimes surreal recollections of the islanders caught in the middle.

Utilising all the qualities that have made the <i>Forgotten Voices</i> series so popular, Hugh McManners, who himself fought in the Falklands War and witnessed its brutality first-hand, has created the definitive oral history on the subject.",conflict,british history book
203,Penguin Readers Level 5: The One Memory of Flora Banks (ELT Graded Reader),"With <b>carefully adapted text</b>, <b>new illustrations</b>, <b>language practise activities</b> and additional <b>online resources</b>, the Penguin Readers series introduces language learners to <b>bestselling authors and compelling content</b>. Titles include <b>popular classics</b>, exciting <b>contemporary fiction</b>, and thought-provoking <b>non-fiction</b>.

The One Memory of Flora,<b> </b>a Level 5 Reader, is B1 in the CEFR framework. The text is made up of sentences with up to four clauses, introducing present perfect continuous, past perfect, reported speech and second conditional. It is well supported by illustrations, which appear regularly.

<i>Seventeen-year-old Flora Banks has an illness and can't remember anything for very long. She writes notes to herself to help her remember things. But one day, Flora kisses a boy and she remembers it. Flora must find the boy who kissed her and learn why she still has that one memory.</i>",flora quincy,literature
